LogS	SMILES	Reference
-4.35	Brc1cccc2ccccc12	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.33	Oc1c(Br)cc(cc1Br)C#N	J. Chem. Inf. Model. 2007, 47, 1395-1404
-6.98	Brc1cc(Br)c(Br)cc1Br	J. Chem. Inf. Model. 2007, 47, 1395-1404
-6.09	COP(=S)(OC)Oc1cc(Cl)c(Br)cc1Cl	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.92	CON(C)C(=O)Nc1ccc(Br)c(Cl)c1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.5	Brc1ccc(Br)c(Br)c1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-5.04	Brc1cccc(Br)c1Br	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.5	Brc1ccccc1Br	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.23	Cc1ccccc1Br	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.19	Clc1ccccc1Br	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.7	Fc1ccccc1Br	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.4	Brc1ccc2ccccc2c1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-5.6	Brc1cc(Br)cc(Br)c1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.54	Brc1cccc(Br)c1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.52	Cc1cccc(Br)c1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.21	Clc1cccc(Br)c1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.67	Fc1cccc(Br)c1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.07	Brc1ccc(Br)cc1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.45	O[C@H](C[C@H](C1=C(O)c2ccccc2OC1=O)c3ccccc3)c4ccc(cc4)c5ccc(Br)cc5	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.19	Cc1ccc(Br)cc1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.63	Clc1ccc(Br)cc1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.93	CC(C)OC(=O)C(O)(c1ccc(Br)cc1)c2ccc(Br)cc2	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.08	CC(=O)Nc1ccc(Br)cc1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-1.09	Oc1ccc(Br)cc1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.55	Brc1ccccc1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.3	BrC1CCCCC1	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.12	NC1=C(Br)C(=O)N(N=C1)c2ccccc2	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.52	CC[C@@H](C)N1C(=O)NC(=C(Br)C1=O)C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.14	BrC(Br)(Br)Br	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.65	CC[C@@H](C)C1(CC(=C)Br)C(=O)NC(=O)NC1=O	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.68	CCC(Br)(CC)C(=O)NC(=O)N	J. Chem. Inf. Model. 2007, 47, 1395-1404
-8.4	CC1(C)[C@H](C=C(Br)Br)[C@H]1C(=O)O[C@@H](C#N)c2cccc(Oc3ccccc3)c2	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.28	COP(=O)(OC)O[C@H](Br)C(Cl)(Cl)Br	J. Chem. Inf. Model. 2007, 47, 1395-1404
-1.17	BrCBr	J. Chem. Inf. Model. 2007, 47, 1395-1404
-1.68	BrCCBr	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.08	BrCCCBr	J. Chem. Inf. Model. 2007, 47, 1395-1404
-5.06	CCCCCCCCBr	J. Chem. Inf. Model. 2007, 47, 1395-1404
-4.43	CCCCCCCBr	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.81	CCCCCCBr	J. Chem. Inf. Model. 2007, 47, 1395-1404
-3.07	CCCCCBr	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.37	CCCCBr	J. Chem. Inf. Model. 2007, 47, 1395-1404
-1.85	ClCCCBr	J. Chem. Inf. Model. 2007, 47, 1395-1404
-1.73	CCCBr	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.89	CC(C)CCBr	J. Chem. Inf. Model. 2007, 47, 1395-1404
-1.32	ClCCBr	J. Chem. Inf. Model. 2007, 47, 1395-1404
-1.09	CCBr	J. Chem. Inf. Model. 2007, 47, 1395-1404
-1.5	BrCC=C	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.43	CC(C)CBr	J. Chem. Inf. Model. 2007, 47, 1395-1404
-0.89	ClCBr	J. Chem. Inf. Model. 2007, 47, 1395-1404
-0.79	CBr	J. Chem. Inf. Model. 2007, 47, 1395-1404
-1.91	BrC(Br)Br	J. Chem. Inf. Model. 2007, 47, 1395-1404
-1.9	ClC(Br)Br	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.38	ClC[C@@H](Br)CBr	J. Chem. Inf. Model. 2007, 47, 1395-1404
-2.15	C[C@@H](Br)CBr	J. Chem. Inf. Model. 2007, 47, 1395-1404
-1.59	CC(C)Br	J. Chem. Inf. Model. 2007, 47, 1395-1404
-1.71	FC(F)(F)[C@H](Cl)Br	J. Chem. Inf. Model. 2007, 47, 1395-1404
-1.54	ClC(Cl)Br	J. Chem. Inf. Model. 2007, 47, 1395-1404
-1.32	Br\C=C\Br	J. Chem. Inf. Model. 2007, 47, 1395-1404
-1.32	Br\C=C\Br	J. Chem. Inf. Model. 2007, 47, 1395-1404
-9.33	c1cc2ccc3ccc4ccc5ccc6ccc1c7c6c5c4c3c27	J. Chem. Inf. Model. 2007, 47, 1395-1404
-9.03	c1cc2ccc3ccc4ccc5cccc6c(c1)c2c3c4c56	J. Chem. Inf. Model. 2007, 47, 1395-1404
-7.8	c1ccc2c(c1)c3cccc4ccc5cccc2c5c34	J. Chem. Inf. Model. 2007, 47, 1395-1404
-8.19	c1ccc2c(c1)cc3ccc4cccc5ccc2c3c45	J. Chem. Inf. Model. 2007, 47, 1395-1404
