Chemical name 	CAS RN	smiles	End Points (pLC50,mg/L )	End Points (LC50,mg/L )	End points annotation	Species	Reference	html
4-(Hexyloxy)-m-anisaldehyde	61096-84-2	C1=CC(C=O)=CC(OC)=C1OCCCCCC	0.426511261	2.67	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
5-Bromo-2-nitrovanillin	98434-34-5	C1(OC)=C([N+]([O-])=O)C(C=O)=CC(Br)=C1O	1.865103975	73.3	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
p-Chlorophenyl-o-nitrophenyl ether	39145-47-6	C1=CC(Cl)=CC=C1OC2=C([N+](=O)[O-])C=CC=C2	0.283301229	1.92	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
3'-Chloro-o-formotoluidide	71862-02-7	CC1=C(NC=O)C=CC=C1Cl	1.668385917	46.6	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Di-n-butylisophthlate	3126-90-7	CCCCOC(=O)C1=CC=CC(C(=O)OCCCC)=C1	-0.045757491	0.9	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
1,1-Diphenyl-2-propyn-1-ol	3923-52-2	C(C1=CC=CC=C1)(C2=CC=CC=C2)(O)C#C	1.045322979	11.1	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4,7-Dithiadecane	22037-97-4	CCCSCCSCCC	0.876217841	7.52	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
4,9-Dithiadodecane	56348-39-1	CCCSCCCCSCCC	0.475671188	2.99	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2-chloroethyl-N-cyclohexyl carbamate	31502-57-5	ClCCOC(=O)NC1CCCCC1	1.544068044	35	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Phenobarbital	6/6/1950	O=C1C(C2=CC=CC=C2)(C(=O)NC(=O)N1)CC	2.684845362	484	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
2,4-Dinitrophenol	51-28-5	OC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-]	1.037426498	10.9	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Urethane	51-79-6	NC(=O)OCC	3.719331287	5240	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
Salicylic acid	54-21-7	OC(C1=CC=CC=C1O)=O	3.235528447	1720	96-h flow0through exposure tests.	Fathead Minnow	EPA Fathead Minnow Acute Toxicity Database EPAFHM	http://www.epa.gov/ncct/dsstox/sdf_epafhm.html
