Chemical name 	CAS RN	SMILES	End Points (pIGCC50,ug/L )	Species	Reference
2,4-Dichloro-6-nitroaniline	2683434	C1=C(C=C(C(=C1Cl)N)[N+](=O)[O-])Cl	1.26	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2,4-Dibromo-6-nitroaniline	827236	C1=C(C=C(C(=C1Br)N)[N+](=O)[O-])Br	1.62	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
6-Chloro-2,4-dinitroaniline	3531199	C1=C(C=C(C(=C1[N+](=O)[O-])N)Cl)[N+](=O)[O-]	1.12	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2-Bromo-4,6-dinitroaniline	1817738	C1=C(C=C(C(=C1[N+](=O)[O-])N)Br)[N+](=O)[O-]	1.24	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-chloro-2,6-dinitroaniline	5388625	[N+]([O-])(=O)c1c(N)c([N+](=O)[O-])cc(c1)Cl	1.15	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1-Fluoro-3-iodo-5-nitrobenzene	3819883	C1=C(C=C(C=C1F)I)[N+](=O)[O-]	1.09	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3,5-Dichloronitrobenzene	618622	C1=C(C=C(C=C1Cl)Cl)[N+](=O)[O-]	1.13	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4,5-Dichloro-2-nitroaniline	6641641	C1=C(C(=CC(=C1Cl)Cl)[N+](=O)[O-])N	1.66	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4,5-Difluoro-2-nitroaniline	78056390	C1=C(C(=CC(=C1F)F)[N+](=O)[O-])N	0.75	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2,4-dinitro-5-fluoroaniline	367817	[N+]([O-])(=O)c1cc([N+](=O)[O-])c(N)cc1F	1.69	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1,5-Dichloro-2,3-dinitrobenzene	28689089	C1=C(C=C(C(=C1Cl)[N+](=O)[O-])[N+](=O)[O-])Cl	2.42	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2-Chloro-4-nitroaniline	121879	C1=CC(=C(C=C1[N+](=O)[O-])Cl)N	0.75	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1,3,5-Trichloro-2-nitrobenzene	18708708	C1=C(C=C(C(=C1Cl)[N+](=O)[O-])Cl)Cl	1.43	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2-chloro-5-nitroaniline	6283256	[N+](c1cc(N)c(cc1)Cl)(=O)[O-]	0.6	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1,2,4-Trichloro-5-nitrobenzene	89690	C1=C(C(=CC(=C1Cl)Cl)Cl)[N+](=O)[O-]	1.53	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2.5-Dichloronitrobenzene	89612	C1=CC(=C(C=C1Cl)[N+](=O)[O-])Cl	1.13	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2,5-Dibromonitrobenzene	3460182	C1=CC(=C(C=C1Br)[N+](=O)[O-])Br	1.37	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2,5-Difluoronitrobenzene	364749	C1=CC(=C(C=C1F)[N+](=O)[O-])F	0.33	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2,4-Dinitroaniline	97029	C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])N	0.72	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1,3-dichloro-4,6-dinitrobenzene	3698837	Clc1c([N+](=O)[O-])cc([N+](=O)[O-])c(Cl)c1	2.72	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1,5-Difluoro-2,4-dinitrobenzene	327924	C1=C(C(=CC(=C1[N+](=O)[O-])F)F)[N+](=O)[O-]	2.08	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2,6-Dinitroaniline	606224	C1=CC(=C(C(=C1)[N+](=O)[O-])N)[N+](=O)[O-]	0.84	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
3,5-dinitroaniline	618871	[N+]([O-])(=O)c1cc([N+](=O)[O-])cc(c1)N	0.94	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2,4-Dichloronitrobenzene	611063	C1=CC(=C(C=C1Cl)Cl)[N+](=O)[O-]	0.99	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1,3,5-Trichloro-2,4-dinitrobenzene hemihydrate	6284839	C1=C(C(=C(C(=C1Cl)[N+](=O)[O-])Cl)[N+](=O)[O-])Cl	2.19	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1,2-Dichloro-4,5-dinitrobenzene	6306394	C1=C(C(=CC(=C1Cl)Cl)[N+](=O)[O-])[N+](=O)[O-]	2.21	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
2-Nitroaniline	88744	C1=CC=C(C(=C1)N)[N+](=O)[O-]	0.08	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1-Chloro-3-nitrobenzene	121733	C1=CC(=CC(=C1)Cl)[N+](=O)[O-]	0.73	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1-fluoro-3-nitrobenzene	402675	[N+](c1cc(F)ccc1)(=O)[O-]	0.2	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
1-Bromo-3-nitrobenzene	585795	C1=CC(=CC(=C1)Br)[N+](=O)[O-]	1.03	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
4-bromo-2-fluoro-6-nitrophenol	320763	[N+](=O)([O-])c1c(O)c(F)cc(c1)Br	1.62	Tetrahymena pyriformis	Chemosphere, 2011, 82(11):1636-1643
