SMILES,%F,SOURCE
C#C[C@]1(O)CC[C@@H]2[C@H]3CCC4=CC(=O)CC[C@H]4[C@@H]3CC[C@@]21C,64.0,Hou
COc1nc(C)nc(Cl)c1NC1=NCCN1,88.0,Hou
CCc1ccc(CCOc2ccc(CC3SC(=O)NC3=O)cc2)nc1,83.0,Kim
C[C@@H](CS)C(=O)N1CCC[C@@H]1C(=O)O,69.0,Hou
CC(CCc1ccc2c(c1)OCO2)NCC(O)c1ccc(O)c(C(N)=O)c1,38.0,Kim
CCOC(Cc1ccc(OCCc2ccc(OS(C)(=O)=O)cc2)cc1)C(=O)O,99.0,Kim
C[C@H](N/C(=N/c1ccncc1)NC#N)C(C)(C)C,57.0,chembl25
C=C1[C@@H](n2cnc3c(=O)nc(N)[nH]c32)C[C@H](O)[C@H]1CO,100.0,Hou
O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,15.0,Kim
CCN(CC)CCOc1ccc(C(=C(Cl)c2ccccc2)c2ccccc2)cc1,90.0,Kim
CC(=O)C[C@H](c1ccccc1)c1c(O)c2ccccc2oc1=O,93.0,Hou
Cn1c(=O)c2nc[nH]c2n(C)c1=O,98.8,chembl25
CN1CCN2c3ncccc3Cc3ccccc3C2C1,50.0,Kim
CN(C)CCC(c1ccc(Br)cc1)c1ccccn1,89.0,Hou
CCC(=O)NCCC1CCc2ccc3c(c21)CCO3,1.8,Kim
Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1,4.5,Hou
CN1CCC(=C2c3ccccc3CCc3sccc32)CC1,78.0,Hou
C=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5,40.0,Hou
CC[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4c3c(cn4C)C[C@H]2N(C)C1,13.0,Hou
CCCCCCC(C)(C)c1cc(O)c2c(c1)OC(C)(C)C1CCC(=O)CC21,20.0,Kim
CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(/C=C\c3scnc3C)CS[C@H]12)c1csc(N)n1,14.0,Hou
COc1ccc2c3c1OC1C(=O)CCC4(O)C(C2)N(C)CCC314,42.0,Kim
NC(=O)c1ncn(C2OC(CO)C(O)C2O)n1,60.0,Kim
CC[C@@]1(C)CC(=O)NC1=O,93.0,Hou
CN1[C@@H]2CC[C@@H]1CC(OC(=O)c1cn(C)c3ccccc13)C2,66.0,Hou
O=C1Nc2ccc(Cl)cc2C(C#CC2CC2)(C(F)(F)F)O1,42.5,Kim
CC[C@H](NC(C)C)[C@H](O)c1ccc(O)c2[nH]c(=O)ccc12,40.0,Hou
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=C(CSc4nnnn4C)CS[C@H]23)c2ccc(O)cc2)C(=O)C1=O,10.0,Hou
C[S+]([O-])CCCCN=C=S,74.0,chembl25
O=C1Nc2ccc(Cl)cc2C(c2ccccc2Cl)=N[C@@H]1O,93.0,Hou
